00NAMA,Aberffraw
"30UPHD","Up Holland"
"30UPHE","Wrightington"
"30UPHF","Bickerstaffe"
"30UPHG","Newburgh"
"30UQGE","Bourne"
"30UQGF","Breck"
"30UQGG","Brock"
"30UQGH","Cabus"
"30UQGJ","Calder"
"30UQGK","Carleton"
"30UQGL","Catterall"
"30UQGM","Cleveleys Park"
"30UQGN","Garstang"
"30UQGP","Great Eccleston"
"30UQGQ","Hambleton and Stalmine-with-Staynall"
"30UQGR","Hardhorn"
"30UQGS","High Cross"
"30UQGT","Jubilee"
"30UQGU","Mount"
"30UQGW","Norcross"
"30UQGX","Park"
"30UQGY","Pharos"
"30UQGZ","Pilling"
"30UQHA","Preesall"
"30UQHB","Rossall"
"30UQHC","Staina"
"30UQHD","Tithebarn"
"30UQHE","Victoria"
"30UQHF","Warren"
"30UQHG","Wyresdale"
"31UBFY","Blaby South"
"31UBFZ","Cosby with South Whetstone"
"31UBGA","Countesthorpe"
"31UBGB","Croft Hill"
"31UBGC","Ellis"
"31UBGD","Enderby and St John's"
"31UBGE","Fairestone"
"31UBGF","Forest"
"31UBGG","Millfield"
"31UBGH","Muxloe"
"31UBGJ","Narborough and Littlethorpe"
"31UBGK","Normanton"
"31UBGL","North Whetstone"
"31UBGM","Pastures"
"31UBGN","Ravenhurst and Fosse"
"31UBGP","Saxondale"
"31UBGQ","Stanton and Flamville"
"31UBGR","Winstanley"
"31UCGG","Anstey"
"31UCGH","Barrow and Sileby West"
"31UCGJ","Birstall Wanlip"
"31UCGK","Birstall Watermead"
"31UCGL","East Goscote"
"31UCGM","Forest Bradgate"
"31UCGN","Loughborough Ashby"
"31UCGP","Loughborough Dishley and Hathern"
"31UCGQ","Loughborough Garendon"
"31UCGR","Loughborough Hastings"
"31UCGS","Loughborough Lemyngton"
"31UCGT","Loughborough Nanpantan"
"31UCGU","Loughborough Outwoods"
"31UCGW","Loughborough Shelthorpe"
"31UCGX","Loughborough Southfields"
"31UCGY","Loughborough Storer"
"31UCGZ","Mountsorrel"
"31UCHA","Queniborough"
"31UCHB","Quorn and Mountsorrel Castle"
"31UCHC","Rothley and Thurcaston"
"31UCHD","Shepshed East"
"31UCHE","Shepshed West"
"31UCHF","Sileby"
"31UCHG","Syston East"
"31UCHH","Syston West"
"31UCHJ","The Wolds"
"31UCHK","Thurmaston"
"31UCHL","Wreake Villages"
"31UDGD","Billesdon"
"31UDGE","Bosworth"
"31UDGF","Broughton Astley-Astley"
"31UDGG","Broughton Astley-Broughton"
"31UDGH","Broughton Astley-Primethorpe"
"31UDGJ","Broughton Astley-Sutton"
"31UDGK","Dunton"
"31UDGL","Fleckney"
"31UDGM","Glen"
"31UDGN","Kibworth"
"31UDGP","Lubenham"
"31UDGQ","Lutterworth Brookfield"
"31UDGR","Lutterworth Orchard"
"31UDGS","Lutterworth Springs"
"31UDGT","Lutterworth Swift"
"31UDGU","Market Harborough-Great Bowden and Arden"
"31UDGW","Market Harborough-Little Bowden"
"31UDGX","Market Harborough-Logan"
"31UDGY","Market Harborough-Welland"
"31UDGZ","Misterton"
"31UDHA","Nevill"
"31UDHB","Peatling"
"31UDHC","Thurnby and Houghton"
"31UDHD","Tilton"
"31UDHE","Ullesthorpe"
"31UEFU","Ambien"
"31UEFW","Barlestone, Nailstone and Osbaston"
"31UEFX","Barwell"
"31UEFY","Burbage St Catherines and Lash Hill"
"31UEFZ","Burbage Sketchley and Stretton"
"31UEGA","Cadeby, Carlton and Market Bosworth with Shackerstone"
"31UEGB","Earl Shilton"
"31UEGC","Groby"
"31UEGD","Hinckley Castle"
"31UEGE","Hinckley Clarendon"
"31UEGF","Hinckley De Montfort"
"31UEGG","Hinckley Trinity"
"31UEGH","Markfield, Stanton and Fieldhead"
"31UEGJ","Newbold Verdon with Desford and Peckleton"
"31UEGK","Ratby, Bagworth and Thornton"
"31UEGL","Twycross and Witherley with Sheepy"
"31UGFT","Asfordby"
"31UGFU","Bottesford"
"31UGFW","Croxton Kerrial"
"31UGFX","Frisby-on-the-Wreake"
"31UGFY","Gaddesby"
"31UGFZ","Long Clawson and Stathern"
"31UGGA","Melton Craven"
"31UGGB","Melton Dorian"
"31UGGC","Melton Egerton"
"31UGGD","Melton Newport"
"31UGGE","Melton Sysonby"
"31UGGF","Melton Warwick"
"31UGGG","Old Dalby"
"31UGGH","Somerby"
"31UGGJ","Waltham-on-the-Wolds"
"31UGGK","Wymondham"
"31UHFZ","Appleby"
"31UHGA","Ashby Castle"
"31UHGB","Ashby Holywell"
"31UHGC","Ashby Ivanhoe"
"31UHGD","Bardon"
"31UHGE","Breedon"
"31UHGF","Castle Donington"
"31UHGG","Coalville"
"31UHGH","Greenhill"
"31UHGJ","Hugglescote"
"31UHGK","Ibstock and Heather"
"31UHGL","Kegworth and Whatton"
"31UHGM","Measham"
"31UHGN","Moira"
"31UHGP","Oakthorpe and Donisthorpe"
"31UHGQ","Ravenstone and Packington"
"31UHGR","Snibston"
"31UHGS","Thringstone"
"31UHGT","Valley"
"31UHGU","Whitwick"
"31UJFL","Oadby Brocks Hill"
"31UJFM","Oadby Grange"
"31UJFN","Oadby St Peter's"
"31UJFP","Oadby Uplands"
"31UJFQ","Oadby Woodlands"
"31UJFR","South Wigston"
"31UJFS","Wigston All Saints"
"31UJFT","Wigston Fields"
"31UJFU","Wigston Meadowcourt"
"31UJFW","Wigston St Wolstan's"
"32UBFT","Central"
"32UBFU","Coastal"
"32UBFW","Fenside"
"32UBFX","Fishtoft"
"32UBFY","Five Village"
"32UBFZ","Frampton and Holme"
"32UBGA","Kirton"
"32UBGB","North"
"32UBGC","Old Leake and Wrangle"
"32UBGD","Pilgrim"
"32UBGE","Skirbeck"
"32UBGF","South"
"32UBGG","Staniland South"
"32UBGH","Staniland North"
"32UBGJ","Swineshead and Holland Fen"
"32UBGK","West"
"32UBGL","Witham"
"32UBGM","Wyberton"
"32UCHC","Alford"
"32UCHD","Binbrook"
"32UCHE","Burgh le Marsh"
"32UCHF","Chapel St Leonards"
"32UCHG","Coningsby and Tattershall"
"32UCHH","Croft"
"32UCHJ","Frithville"
"32UCHK","Grimoldby"
"32UCHL","Halton Holegate"
"32UCHM","Holton le Clay"
"32UCHN","Horncastle"
"32UCHP","Hundleby"
"32UCHQ","Ingoldmells"
"32UCHR","Legbourne"
"32UCHS","Ludford"
"32UCHT","Mablethorpe Central"
"32UCHU","Mablethorpe East"
"32UCHW","Mablethorpe North"
"32UCHX","Mareham le Fen"
"32UCHY","Marshchapel"
"32UCHZ","North Holme"
"32UCJA","North Somercotes"
"32UCJB","North Thoresby"
"32UCJC","Priory"
"32UCJD","Roughton"
"32UCJE","St Clement's"
"32UCJF","St James'"
"32UCJG","St Margaret's"
"32UCJH","St Mary's"
"32UCJJ","St Michael's"
"32UCJK","Scarbrough"
"32UCJL","Seacroft"
"32UCJM","Sibsey"
"32UCJN","Skidbrooke with Saltfleet Haven"
"32UCJP","Spilsby"
"32UCJQ","Stickney"
"32UCJR","Sutton on Sea North"
"32UCJS","Sutton on Sea South"
"32UCJT","Tetford"
"32UCJU","Tetney"
"32UCJW","Trinity"
"32UCJX","Trusthorpe and Mablethorpe South"
"32UCJY","Wainfleet and Friskney"
"32UCJZ","Willoughby with Sloothby"
"32UCKA","Winthorpe"
"32UCKB","Withern with Stain"
"32UCKC","Woodhall Spa"
"32UCKD","Wragby"
"32UDFZ","Abbey"
"32UDGA","Birchwood"
"32UDGB","Boultham"
"32UDGC","Bracebridge"
"32UDGD","Carholme"
"32UDGE","Castle"
"32UDGF","Glebe"
"32UDGG","Hartsholme"
"32UDGH","Minster"
"32UDGJ","Moorland"
"32UDGK","Park"
"32UEHQ","Ashby de la Launde and Cranwell"
"32UEHR","Bassingham and Brant Broughton"
"32UEHS","Billinghay, Martin and North Kyme"
"32UEHT","Bracebridge Heath and Waddington East"
"32UEHU","Branston"
"32UEHW","Cliff Villages"
"32UEHX","Eagle, Swinderby and Witham St Hughs"
"32UEHY","Heckington Rural"
"32UEHZ","Heighington and Washingborough"
"32UEJA","Kirkby la Thorpe and South Kyme"
"32UEJB","Leasingham and Rauceby"
"32UEJC","Metheringham"
"32UEJD","North Hykeham Forum"
"32UEJE","North Hykeham Memorial"
"32UEJF","North Hykeham Mill"
"32UEJG","North Hykeham Moor"
"32UEJH","North Hykeham Witham"
"32UEJJ","Osbournby"
"32UEJK","Ruskington"
"32UEJL","Skellingthorpe"
"32UEJM","Sleaford Castle"
"32UEJN","Sleaford Holdingham"
"32UEJP","Sleaford Navigation"
"32UEJQ","Sleaford Quarrington and Mareham"
"32UEJR","Sleaford Westholme"
"32UEJS","Waddington West"
"32UFGZ","Crowland and Deeping St Nicholas"
"32UFHA","Donington, Quadring and Gosberton"
"32UFHB","Fleet"
"32UFHC","Gedney"
"32UFHD","Holbeach Hurn"
"32UFHE","Holbeach Town"
"32UFHF","Long Sutton"
"32UFHG","Moulton, Weston and Cowbit"
"32UFHH","Pinchbeck and Surfleet"
"32UFHJ","Spalding Castle"
"32UFHK","Spalding Monks House"
"32UFHL","Spalding St John's"
"32UFHM","Spalding St Mary's"
"32UFHN","Spalding St Paul's"
"32UFHP","Spalding Wygate"
"32UFHQ","Sutton Bridge"
"32UFHR","The Saints"
"32UFHS","Whaplode and Holbeach St John's"
"32UGGM","All Saints"
"32UGGN","Aveland"
"32UGGP","Barrowby"
"32UGGQ","Belmont"
"32UGGR","Bourne East"
"32UGGS","Bourne West"
"32UGGT","Deeping St James"
"32UGGU","Earlesfield"
"32UGGW","Ermine"
"32UGGX","Forest"
"32UGGY","Glen Eden"
"32UGGZ","Grantham St John's"
"32UGHA","Green Hill"
"32UGHB","Greyfriars"
"32UGHC","Harrowby"
"32UGHD","Heath"
"32UGHE","Hillsides"
"32UGHF","Isaac Newton"
"32UGHG","Lincrest"
"32UGHH","Loveden"
"32UGHJ","Market and West Deeping"
"32UGHK","Morkery"
"32UGHL","Peascliffe"
"32UGHM","Ringstone"
"32UGHN","St Anne's"
"32UGHP","St George's"
"32UGHQ","St Mary's"
"32UGHR","St Wulfram's"
"32UGHS","Saxonwell"
"32UGHT","Stamford St John's"
"32UGHU","Thurlby"
"32UGHW","Toller"
"32UGHX","Truesdale"
"32UGHY","Witham Valley"
"32UHGD","Bardney"
"32UHGE","Caistor"
"32UHGF","Cherry Willingham"
"32UHGG","Dunholme"
"32UHGH","Fiskerton"
"32UHGJ","Gainsborough East"
"32UHGK","Gainsborough North"
"32UHGL","Gainsborough South-West"
"32UHGM","Hemswell"
"32UHGN","Kelsey"
"32UHGP","Lea"
"32UHGQ","Market Rasen"
"32UHGR","Middle Rasen"
"32UHGS","Nettleham"
"32UHGT","Saxilby"
"32UHGU","Scampton"
"32UHGW","Scotter"
"32UHGX","Stow"
"32UHGY","Sudbrooke"
"32UHGZ","Thonock"
"32UHHA","Torksey"
"32UHHB","Waddingham and Spital"
"32UHHC","Welton"
"32UHHD","Wold View"
"32UHHE","Yarborough"
"33UBGU","All Saints"
"33UBGW","Buckenham"
"33UBGX","Burgh and Haverscroft"
"33UBGY","Conifer"
"33UBGZ","Dereham-Central"
"33UBHA","Dereham-Humbletoft"
"33UBHB","Dereham-Neatherd"
"33UBHC","Dereham-Toftwood"
"33UBHD","East Guiltcross"
"33UBHE","Eynsford"
"33UBHF","Haggard de Toni"
"33UBHG","Harling and Heathlands"
"33UBHH","Hermitage"
"33UBHJ","Launditch"
"33UBHK","Mid Forest"
"33UBHL","Nar Valley"
"33UBHM","Necton"
"33UBHN","Queen's"
"33UBHP","Shipdham"
"33UBHQ","Springvale and Scarning"
"33UBHR","Swaffham"
"33UBHS","Swanton Morley"
"33UBHT","Taverner"
"33UBHU","Templar"
"33UBHW","Thetford-Abbey"
"33UBHX","Thetford-Castle"
"33UBHY","Thetford-Guildhall"
"33UBHZ","Thetford-Saxon"
"33UBJA","Two Rivers"
"33UBJB","Upper Wensum"
"33UBJC","Upper Yare"
"33UBJD","Watton"
"33UBJE","Wayland"
"33UBJF","Weeting"
"33UBJG","West Guiltcross"
"33UBJH","Wissey"
"33UCGN","Acle"
"33UCGP","Aylsham"
"33UCGQ","Blofield with South Walsham"
"33UCGR","Brundall"
"33UCGS","Burlingham"
"33UCGT","Buxton"
"33UCGU","Coltishall"
"33UCGW","Drayton North"
"33UCGX","Drayton South"
"33UCGY","Eynesford"
"33UCGZ","Great Witchingham"
"33UCHA","Hellesdon North West"
"33UCHB","Hellesdon South East"
"33UCHC","Hevingham"
"33UCHD","Horsford and Felthorpe"
"33UCHE","Marshes"
"33UCHF","Old Catton and Sprowston West"
"33UCHG","Plumstead"
"33UCHH","Reepham"
"33UCHJ","Spixworth with St Faiths"
"33UCHK","Sprowston Central"
"33UCHL","Sprowston East"
"33UCHM","Taverham North"
"33UCHN","Taverham South"
"33UCHP","Thorpe St Andrew North West"
"33UCHQ","Thorpe St Andrew South East"
"33UCHR","Wroxham"
"33UDFY","Bradwell North"
"33UDFZ","Bradwell South and Hopton"
"33UDGA","Caister North"
"33UDGB","Caister South"
"33UDGC","Central and Northgate"
"33UDGD","Claydon"
"33UDGE","East Flegg"
"33UDGF","Fleggburgh"
"33UDGG","Gorleston"
"33UDGH","Lothingland"
"33UDGJ","Magdalen"
"33UDGK","Nelson"
"33UDGL","Ormesby"
"33UDGM","St Andrews"
"33UDGN","Southtown and Cobholm"
"33UDGP","West Flegg"
"33UDGQ","Yarmouth North"
"33UEGT","Airfield"
"33UEGU","Brancaster"
"33UEGW","Burnham"
"33UEGX","Clenchwarton"
"33UEGY","Denton"
"33UEGZ","Dersingham"
"33UEHA","Docking"
"33UEHB","Downham Old Town"
"33UEHC","East Downham"
"33UEHD","Emneth with Outwell"
"33UEHE","Fairstead"
"33UEHF","Gayton"
"33UEHG","Gaywood Chase"
"33UEHH","Gaywood North Bank"
"33UEHJ","Grimston"
"33UEHK","Heacham"
"33UEHL","Hilgay with Denver"
"33UEHM","Hunstanton"
"33UEHN","Mershe Lande"
"33UEHP","North Downham"
"33UEHQ","North Lynn"
"33UEHR","North Wootton"
"33UEHS","Old Gaywood"
"33UEHT","Priory"
"33UEHU","Rudham"
"33UEHW","St Lawrence"
"33UEHX","St Margarets with St Nicholas"
"33UEHY","Snettisham"
"33UEHZ","South and West Lynn"
"33UEJA","South Downham"
"33UEJB","South Wootton"
"33UEJC","Spellowfields"
"33UEJD","Springwood"
"33UEJE","Upwell and Delph"
"33UEJF","Valley Hill"
"33UEJG","Walpole"
"33UEJH","Walton"
"33UEJJ","Watlington"
"33UEJK","West Winch"
"33UEJL","Wiggenhall"
"33UEJM","Wimbotsham with Fincham"
"33UEJN","Wissey"
"33UFGP","Astley"
"33UFGQ","Briston"
"33UFGR","Chaucer"
"33UFGS","Corpusty"
"33UFGT","Cromer Town"
"33UFGU","Erpingham"
"33UFGW","Gaunt"
"33UFGX","Glaven Valley"
"33UFGY","Happisburgh"
"33UFGZ","High Heath"
"33UFHA","Holt"
"33UFHB","Hoveton"
"33UFHC","Lancaster North"
"33UFHD","Lancaster South"
"33UFHE","Mundesley"
"33UFHF","North Walsham East"
"33UFHG","North Walsham North"
"33UFHH","North Walsham West"
"33UFHJ","Poppyland"
"33UFHK","Priory"
"33UFHL","Roughton"
"33UFHM","Scottow"
"33UFHN","St Benet"
"33UFHP","Sheringham North"
"33UFHQ","Sheringham South"
"33UFHR","Stalham and Sutton"
"33UFHS","Suffield Park"
"33UFHT","The Raynhams"
"33UFHU","The Runtons"
"33UFHW","Walsingham"
"33UFHX","Waterside"
"33UFHY","Waxham"
"33UFHZ","Wensum"
"33UFJA","Worstead"
"33UGFS","Bowthorpe"
"33UGFT","Catton Grove"
"33UGFU","Crome"
"33UGFW","Eaton"
"33UGFX","Lakenham"
"33UGFY","Mancroft"
"33UGFZ","Mile Cross"
"33UGGA","Nelson"
"33UGGB","Sewell"
"33UGGC","Thorpe Hamlet"
"33UGGD","Town Close"
"33UGGE","University"
"33UGGF","Wensum"
"33UHGU","Abbey"
"33UHGY","Brooke"
"33UHGZ","Bunwell"
"33UHHD","Dickleburgh"
"33UHHF","Ditchingham and Broome"
"33UHHH","Easton"
"33UHHJ","Forncett"
"33UHHM","Hempnall"
"33UHHP","Hingham and Deopham"
"33UHHS","New Costessey"
"33UHHT","Newton Flotman"
"33UHHU","Northfields"
"33UHHW","Old Costessey"
"33UHHX","Poringland with the Framinghams"
"33UHHY","Rockland"
"33UHJA","Rustens"
"33UHJB","Scole"
"33UHJC","Stoke Holy Cross"
"33UHJD","Stratton"
"33UHJE","Tasburgh"
"33UHJF","Thurlton"
"33UHJG","Town"
"33UHJH","Wicklewood"
"33UHJJ","Beck Vale"
"33UHJK","Bressingham and Burston"
"33UHJL","Chedgrave and Thurton"
"33UHJM","Cringleford"
"33UHJN","Cromwells"
"33UHJP","Diss"
"33UHJQ","Earsham"
"33UHJR","Gillingham"
"33UHJS","Harleston"
"33UHJT","Hethersett"
"33UHJU","Loddon"
"33UHJW","Mulbarton"
"33UHJX","Roydon"
"34UBGC","Beanfield"
"34UBGD","Central"
"34UBGE","Danesholme"
"34UBGF","East"
"34UBGG","Exeter"
"34UBGH","Great Oakley"
"34UBGJ","Kingswood"
"34UBGK","Lodge Park"
"34UBGL","Oakley Vale"
"34UBGM","Rowlett"
"34UBGN","Rural West"
"34UBGP","Shire Lodge"
"34UBGQ","Stanion and Corby Village"
"34UBGR","Tower Hill"
"34UBGS","Weldon and Gretton"
"34UCGD","Abbey North"
"34UCGE","Abbey South"
"34UCGF","Badby"
"34UCGG","Barby and Kilsby"
"34UCGH","Boughton and Pitsford"
"34UCGJ","Brampton"
"34UCGK","Braunston"
"34UCGL","Brixworth"
"34UCGM","Byfield"
"34UCGN","Clipston"
"34UCGP","Crick"
"34UCGQ","Drayton"
"34UCGR","Flore"
"34UCGS","Hill"
"34UCGT","Long Buckby"
"34UCGU","Moulton"
"34UCGW","Ravensthorpe"
"34UCGX","Spratton"
"34UCGY","Walgrave"
"34UCGZ","Weedon"
"34UCHA","Welford"
"34UCHB","West Haddon and Guilsborough"
"34UCHC","Woodford"
"34UCHD","Yelvertoft"
"34UDGT","Barnwell"
"34UDGU","Fineshade"
"34UDGW","Higham Ferrers Chichele"
"34UDGX","Higham Ferrers Lancaster"
"34UDGY","Irthlingborough John Pyel"
"34UDGZ","Irthlingborough Waterloo"
"34UDHA","King's Forest"
"34UDHB","Lower Nene"
"34UDHC","Lyveden"
"34UDHD","Oundle"
"34UDHE","Prebendal"
"34UDHF","Raunds Saxon"
"34UDHG","Raunds Windmill"
"34UDHH","Rushden Bates"
"34UDHJ","Rushden Hayden"
"34UDHK","Rushden Pemberton"
"34UDHL","Rushden Sartoris"
"34UDHM","Rushden Spencer"
"34UDHN","Stanwick"
"34UDHP","Thrapston Lakes"
"34UDHQ","Thrapston Market"
"34UDHR","Woodford"
"34UEGZ","All Saints"
"34UEHA","Avondale Grange"
"34UEHB","Barton"
"34UEHC","Brambleside"
"34UEHD","Burton Latimer"
"34UEHE","Desborough Loatland"
"34UEHF","Desborough St Giles"
"34UEHG","Ise Lodge"
"34UEHH","Northfield"
"34UEHJ","Pipers Hill"
"34UEHK","Queen Eleanor and Buccleuch"
"34UEHL","Rothwell"
"34UEHM","St Michael's and Wicksteed"
"34UEHN","St Peter's"
"34UEHP","Slade"
"34UEHQ","Welland"
"34UEHR","William Knibb"
"34UFFY","Abington"
"34UFFZ","Billing"
"34UFGA","Boughton Green"
"34UFGB","Castle"
"34UFGC","Delapre"
"34UFGD","East Hunsbury"
"34UFGE","Eastfield"
"34UFGF","Ecton Brook"
"34UFGG","Headlands"
"34UFGH","Kingsley"
"34UFGJ","Kingsthorpe"
"34UFGK","Lumbertubs"
"34UFGL","Nene Valley"
"34UFGM","New Duston"
"34UFGN","Old Duston"
"34UFGP","Parklands"
"34UFGQ","St Crispin"
"34UFGR","St David"
"34UFGS","St James"
"34UFGT","Spencer"
"34UFGU","Thorplands"
"34UFGW","West Hunsbury"
"34UFGX","Weston"
"34UGHT","Astwell"
"34UGHU","Blakesley and Cote"
"34UGHW","Blisworth and Roade"
"34UGHX","Brackley East"
"34UGHY","Brackley South"
"34UGHZ","Brackley West"
"34UGJA","Brafield and Yardley"
"34UGJB","Cosgrove and Grafton"
"34UGJC","Danvers and Wardoun"
"34UGJD","Deanshanger"
"34UGJE","Grange Park"
"34UGJF","Hackleton"
"34UGJG","Harpole and Grange"
"34UGJH","Heyfords and Bugbrooke"
"34UGJJ","Kings Sutton"
"34UGJK","Kingthorn"
"34UGJL","Little Brook"
"34UGJM","Middleton Cheney"
"34UGJN","Old Stratford"
"34UGJP","Salcey"
"34UGJQ","Silverstone"
"34UGJR","Steane"
"34UGJS","Tove"
"34UGJT","Towcester Brook"
"34UGJU","Towcester Mill"
"34UGJW","Washington"
"34UGJX","Whittlewood"
"34UHFR","Brickhill"
"34UHFS","Castle"
"34UHFT","Croyland"
"34UHFU","Earls Barton"
"34UHFW","Finedon"
"34UHFX","Great Doddington and Wilby"
"34UHFY","Hemmingwell"
"34UHFZ","Irchester"
"34UHGA","North"
"34UHGB","Queensway"
"34UHGC","Redwell East"
"34UHGD","Redwell West"
"34UHGE","South"
"34UHGF","Swanspool"
"34UHGG","West"
"34UHGH","Wollaston"
"36UBGB","Aire Valley with Lothersdale"
"36UBGC","Barden Fell"
"36UBGD","Bentham"
"36UBGE","Cowling"
"36UBGF","Embsay-with-Eastby"
"36UBGG","Gargrave and Malhamdale"
"36UBGH","Glusburn"
"36UBGJ","Grassington"
"36UBGK","Hellifield and Long Preston"
"36UBGL","Ingleton and Clapham"
"36UBGM","Penyghent"
"36UBGN","Settle and Ribblebanks"
"36UBGP","Skipton East"
"36UBGQ","Skipton North"
"36UBGR","Skipton South"
"36UBGS","Skipton West"
"36UBGT","Sutton-in-Craven"
"36UBGU","Upper Wharfedale"
"36UBGW","West Craven"
"36UCGM","Bedale"
"36UCGN","Brompton"
"36UCGP","Broughton and Greenhow"
"36UCGQ","Cowtons"
"36UCGR","Crakehall"
"36UCGS","Easingwold"
"36UCGT","Great Ayton"
"36UCGU","Helperby"
"36UCGW","Huby and Sutton"
"36UCGX","Leeming"
"36UCGY","Leeming Bar"
"36UCGZ","Morton-on-Swale"
"36UCHA","Northallerton Broomfield"
"36UCHB","Northallerton Central"
"36UCHC","Northallerton North"
"36UCHD","Osmotherley"
"36UCHE","Romanby"
"36UCHF","Rudby"
"36UCHG","Shipton"
"36UCHH","Sowerby"
"36UCHJ","Stillington"
"36UCHK","Stokesley"
"36UCHL","Swainby"
"36UCHM","Tanfield"
"36UCHN","Thirsk"
"36UCHP","Thorntons"
"36UCHQ","Tollerton"
"36UCHR","Topcliffe"
"36UCHS","White Horse"
"36UCHT","Whitestonecliffe"
"36UDGL","Bilton"
"36UDGM","Bishop Monkton"
"36UDGN","Boroughbridge"
"36UDGP","Claro"
"36UDGQ","Granby"
"36UDGR","Harlow Moor"
"36UDGS","High Harrogate"
"36UDGT","Hookstone"
"36UDGU","Killinghall"
"36UDGW","Kirkby Malzeard"
"36UDGX","Knaresborough East"
"36UDGY","Knaresborough King James"
"36UDGZ","Knaresborough Scriven Park"
"36UDHA","Low Harrogate"
"36UDHB","Lower Nidderdale"
"36UDHC","Marston Moor"
"36UDHD","Mashamshire"
"36UDHE","Newby"
"36UDHF","New Park"
"36UDHG","Nidd Valley"
"36UDHH","Ouseburn"
"36UDHJ","Pannal"
"36UDHK","Pateley Bridge"
"36UDHL","Ribston"
"36UDHM","Ripon Minster"
"36UDHN","Ripon Moorside"
"36UDHP","Ripon Spa"
"36UDHQ","Rossett"
"36UDHR","Saltergate"
"36UDHS","Spofforth with Lower Wharfedale"
"36UDHT","Starbeck"
"36UDHU","Stray"
"36UDHW","Washburn"
"36UDHX","Wathvale"
"36UDHY","Woodfield"
"36UEGD","Addlebrough"
"36UEGE","Barton"
"36UEGF","Bolton Castle"
"36UEGG","Brompton-on-Swale and Scorton"
"36UEGH","Catterick"
"36UEGJ","Colburn"
"36UEGK","Croft"
"36UEGL","Gilling West"
"36UEGM","Hawes and High Abbotside"
"36UEGN","Hipswell"
"36UEGP","Hornby Castle"
"36UEGQ","Leyburn"
"36UEGR","Lower Wensleydale"
"36UEGS","Melsonby"
"36UEGT","Middleham"
"36UEGU","Middleton Tyas"
"36UEGW","Newsham with Eppleby"
"36UEGX","Penhill"
"36UEGY","Reeth and Arkengarthdale"
"36UEGZ","Richmond Central"
"36UEHA","Richmond East"
"36UEHB","Richmond West"
"36UEHC","Scotton"
"36UEHD","Swaledale"
"36UFGF","Amotherby"
"36UFGG","Ampleforth"
"36UFGH","Cropton"
"36UFGJ","Dales"
"36UFGK","Derwent"
"36UFGL","Helmsley"
"36UFGM","Hovingham"
"36UFGN","Kirkbymoorside"
"36UFGP","Malton"
"36UFGQ","Norton East"
"36UFGR","Norton West"
"36UFGS","Pickering East"
"36UFGT","Pickering West"
"36UFGU","Rillington"
"36UFGW","Ryedale South West"
"36UFGX","Sherburn"
"36UFGY","Sheriff Hutton"
"36UFGZ","Sinnington"
"36UFHA","Thornton Dale"
"36UFHB","Wolds"
"36UGFZ","Castle"
"36UGGA","Cayton"
"36UGGB","Central"
"36UGGC","Danby"
"36UGGD","Derwent Valley"
"36UGGE","Eastfield"
"36UGGF","Esk Valley"
"36UGGG","Falsgrave Park"
"36UGGH","Filey"
"36UGGJ","Fylingdales"
"36UGGK","Hertford"
"36UGGL","Lindhead"
"36UGGM","Mayfield"
"36UGGN","Mulgrave"
"36UGGP","Newby"
"36UGGQ","North Bay"
"36UGGR","Northstead"
"36UGGS","Ramshill"
"36UGGT","Scalby, Hackness and Staintondale"
"36UGGU","Seamer"
"36UGGW","Stepney"
"36UGGX","Streonshalh"
"36UGGY","Weaponness"
"36UGGZ","Whitby West Cliff"
"36UGHA","Woodlands"
"36UHGN","Appleton Roebuck"
"36UHGP","Barlby"
"36UHGQ","Brayton"
"36UHGR","Camblesforth"
"36UHGS","Cawood with Wistow"
"36UHGT","Eggborough"
"36UHGU","Fairburn with Brotherton"
"36UHGW","Hambleton"
"36UHGX","Hemingbrough"
"36UHGY","Monk Fryston and South Milford"
"36UHGZ","North Duffield"
"36UHHA","Riccall with Escrick"
"36UHHB","Saxton and Ulleskelf"
"36UHHC","Selby North"
"36UHHD","Selby South"
"36UHHE","Selby West"
"36UHHF","Sherburn in Elmet"
"36UHHG","Tadcaster East"
"36UHHH","Tadcaster West"
"36UHHJ","Whitley"
"37UBFR","Hucknall Central"
"37UBFS","Hucknall East"
"37UBFT","Hucknall North"
"37UBFU","Hucknall West"
"37UBFW","Jacksdale"
"37UBFX","Kirkby in Ashfield Central"
"37UBFY","Kirkby in Ashfield East"
"37UBFZ","Kirkby in Ashfield West"
"37UBGA","Selston"
"37UBGB","Sutton in Ashfield Central"
"37UBGC","Sutton in Ashfield East"
"37UBGD","Sutton in Ashfield North"
"37UBGE","Sutton in Ashfield West"
"37UBGF","Underwood"
"37UBGG","Woodhouse"
"37UCGE","Beckingham"
"37UCGF","Blyth"
"37UCGG","Carlton"
"37UCGH","Clayworth"
"37UCGJ","East Markham"
"37UCGK","East Retford East"
"37UCGL","East Retford North"
"37UCGM","East Retford South"
"37UCGN","East Retford West"
"37UCGP","Everton"
"37UCGQ","Harworth"
"37UCGR","Langold"
"37UCGS","Misterton"
"37UCGT","Rampton"
"37UCGU","Ranskill"
"37UCGW","Sturton"
"37UCGX","Sutton"
"37UCGY","Tuxford and Trent"
"37UCGZ","Welbeck"
"37UCHA","Worksop East"
"37UCHB","Worksop North"
"37UCHC","Worksop North East"
"37UCHD","Worksop North West"
"37UCHE","Worksop South"
"37UCHF","Worksop South East"
"37UDFY","Attenborough"
"37UDFZ","Awsworth"
